ncesid,year,state,dist_name,enroll,rev_total_pp,rev_local_pp,rev_state_pp,rev_fed_pp,rev_total,rev_local,rev_state,rev_fed,rev_total_unadj,rev_local_unadj,rev_state_unadj,rev_fed_unadj,exp_cur_pp,rev_exp_pp_diff,exp_cur_st_loc,exp_cur_fed,exp_cur_resa,exp_cur_total,cpi_sy12,mhi,mpv,adult_pop,ba_plus_pop,ba_plus_pct,total_pop,student_pop,stpov_pop,stpov_pct,cong_dist,state_leaid,county,cbsa,urbanicity,schlev,lea_type,lea_type_id,sped_enroll,ell_enroll,total_teachers_fte,school_count,counselors_fte,ell_pct,sped_pct,ela_proficient_pct,ela_mean_score,ela_tested,elpac_well_developed_pct,elpac_beginning_pct,elpac_tested,csi_school_count,atsi_school_count,tsi_school_count,has_improvement_status,chronic_absent_rate,chronic_absent_count,title_i_amount,frpm_pct,frpm_count,lcff_supplemental,lcff_concentration,lcff_supp_conc_total,lcff_unduplicated_pct,website
0600001,2022,CA,Acton-Agua Dulce Unified,939,26538.8711395101,10536.0155612219,13256.8777442947,2745.97783399348,24920000.0,9893318.61198738,12448208.2018927,2578473.18611987,25360000.0,10068000.0,12668000.0,2624000.0,16510.1171458999,10028.7539936102,13063000.0,2440000.0,0,15503000.0,1.23931623931624,117872.0,686200.0,8897.0,2300.0,0.258514105878386,11921.0,1766.0,176.0,0.0996602491506229,625,CA-1975309,Los Angeles County,31080,Rural,3,Regular public school district that is not a component of a supervisory union,1,217.0,146.0,40.0,3,2.0,0.155484558040469,0.231096911608094,34.17,,518.0,22.41,15.52,116.0,4,0,0,1,36.4,6377.0,283867.8849482517,65.6,8814.0,1506110.0,969837.0,2475947.0,0.6859,https://www.aadusd.k12.ca.us
0600006,2022,CA,Ross Valley Elementary,1748,17937.0709382151,11216.0258739776,6318.45897565819,402.586088579328,31354000.0,19605613.2277128,11044666.2894505,703720.482836665,31812000.0,19892000.0,11206000.0,714000.0,14397.0251716247,3540.04576659039,24295000.0,871000.0,0,25166000.0,1.23931623931624,151968.0,1326000.0,17169.0,12156.0,0.708020269089638,23609.0,2596.0,117.0,0.0450693374422188,602,CA-2175002,Marin County,41860,Suburb,1,Regular public school district that is not a component of a supervisory union,1,206.0,75.0,82.0,5,1.0,0.0429061784897025,0.117848970251716,77.98,,1108.0,31.51,12.33,73.0,0,0,0,0,9.1,156.0,98371.23176711774,10.6,179.0,456449.0,0.0,456449.0,0.1299,https://www.rossvalleyschools.org
0600009,2022,CA,Cuyama Joint Unified,172,25447.6744186047,10191.9167212922,12755.9545939282,2499.80310338418,4377000.0,1753009.67606226,2194024.19015566,429966.133782078,4754000.0,1904000.0,2383000.0,467000.0,19156.976744186,6290.69767441861,2730000.0,565000.0,0,3295000.0,1.23931623931624,54474.0,184900.0,763.0,180.0,0.235910878112713,1059.0,204.0,54.0,0.264705882352941,624,CA-4275010,Santa Barbara County,42200,Rural,3,Regular public school district that is not a component of a supervisory union,1,28.0,39.0,10.0,3,0.0,0.226744186046512,0.162790697674419,32.14,,84.0,31.03,13.79,29.0,0,0,0,0,23.3,81.0,114080.3508354242,66.9,180.0,286898.0,266664.0,553562.0,0.7703,https://www.cuyamaunified.org
0600011,2022,CA,Fort Sage Unified,241,19348.5477178423,2662.34029158412,15439.9174919397,1246.28993431854,4663000.0,641624.010271774,3721020.11555746,300355.874170768,4673000.0,643000.0,3729000.0,301000.0,15626.5560165975,3721.99170124481,3504000.0,262000.0,0,3766000.0,1.23931623931624,47063.0,152600.0,2927.0,328.0,0.11206012982576,2629.0,276.0,74.0,0.268115942028986,601,CA-1875036,Lassen County,45000,Town,3,Regular public school district that is not a component of a supervisory union,1,39.0,,16.0,4,0.0,,0.161825726141079,12.73,,111.0,,,4.0,0,0,1,1,15.8,90.0,167908.0259636487,64.4,334.0,168048.0,133482.0,301530.0,0.7279,https://www.fortsage.org
0600012,2022,CA,Twin Ridges Elementary,93,29978.4946236559,15416.9622880231,6468.58829167055,8092.94404396226,2788000.0,1433777.49278615,601578.711125361,752643.79608849,3119000.0,1604000.0,673000.0,842000.0,29924.7311827957,53.7634408602171,1926000.0,857000.0,0,2783000.0,1.23931623931624,57697.0,396800.0,1674.0,531.0,0.317204301075269,2425.0,181.0,56.0,0.30939226519337,601,CA-2966415,Nevada County,46020,Rural,1,Regular public school district that is not a component of a supervisory union,1,18.0,4.0,6.0,3,0.0,0.043010752688172,0.193548387096774,21.05,,57.0,,,,0,0,0,0,44.9,48.0,128023.55476277485,84.8,89.0,162846.0,183869.0,346715.0,0.8428,https://www.twinridgeselementary.com
0600013,2022,CA,Rocklin Unified,11493,16493.4307839554,7902.81782950383,7267.03937104078,1323.57358341085,189559000.0,90827085.3144875,83520083.4913716,15211831.1941409,190882000.0,91461000.0,84103000.0,15318000.0,12653.4412250935,3839.98955886191,129426000.0,16000000.0,0,145426000.0,1.23931623931624,116428.0,637900.0,45202.0,21676.0,0.479536303703376,71799.0,14031.0,519.0,0.0369895231986316,604,CA-3175085,Placer County,40900,Suburb,3,Regular public school district that is not a component of a supervisory union,1,1547.0,514.0,523.0,17,13.0,0.0447228747933525,0.134603671800226,65.94,,5898.0,27.26,14.17,642.0,0,0,1,1,9.4,1264.0,462767.0603827497,23.5,3108.0,5977181.0,0.0,5977181.0,0.2385,https://www.rocklinusd.org
0600014,2022,CA,Hesperia Unified,22323,16567.8896205707,1822.3419115385,12108.5270040625,2637.02070496972,369845000.0,40680138.491274,270298648.311687,58866213.197039,370962000.0,40803000.0,271115000.0,59044000.0,13033.1048694172,3534.78475115352,253605000.0,37333000.0,0,290938000.0,1.23931623931624,69254.0,341800.0,65649.0,7192.0,0.109552316105348,110285.0,23826.0,4931.0,0.206958784521111,608,CA-3675044,San Bernardino County,40140,Suburb,3,Regular public school district that is not a component of a supervisory union,1,3255.0,4288.0,946.0,25,35.0,0.192088876943063,0.145813734713076,29.74,,11896.0,11.55,18.3,3674.0,1,3,5,1,34.1,8945.0,11767683.582002996,72.7,18284.0,34078868.0,23795613.0,57874481.0,0.7005,https://www.hesperiausd.org
0600015,2022,CA,Lucerne Valley Unified,981,22137.6146788991,3889.38100237682,14629.0325882556,3619.20108826667,21717000.0,3815482.76333166,14351080.9690787,3550436.2675896,21959000.0,3858000.0,14511000.0,3590000.0,17948.0122324159,4189.60244648318,14321000.0,3286000.0,0,17607000.0,1.23931623931624,40879.0,194200.0,4874.0,788.0,0.161674189577349,6358.0,1045.0,301.0,0.288038277511962,608,CA-3675051,San Bernardino County,40140,Rural,3,Regular public school district that is not a component of a supervisory union,1,142.0,175.0,57.0,4,1.0,0.178389398572885,0.144750254841998,26.95,,642.0,4.29,30.95,210.0,1,0,1,1,21.9,3496.0,963839.8916048696,54.6,7665.0,2238551.0,2835200.0,5073751.0,0.9012,https://www.lucernevalleyusd.org
0600016,2022,CA,Upland Unified,10210,16342.0176297747,4945.31775433301,9724.97229895643,1671.72757648529,166852000.0,50491694.27174,99291967.1723452,17068338.5559148,168882000.0,51106000.0,100500000.0,17276000.0,13984.3290891283,2357.68854064643,126550000.0,16230000.0,0,142780000.0,1.23931623931624,95828.0,666000.0,53199.0,18745.0,0.352356247297882,78150.0,12751.0,1430.0,0.112148066818289,631,CA-3675069,San Bernardino County,40140,Suburb,3,Regular public school district that is not a component of a supervisory union,1,1522.0,785.0,422.0,14,16.0,0.0768854064642507,0.149069539666993,54.79,,4907.0,19.03,21.46,783.0,0,0,1,1,16.5,1621.0,2558473.5267164325,68.4,6500.0,14680973.0,9702966.0,24383939.0,0.6904,https://www.upland.k12.ca.us
0600017,2022,CA,Apple Valley Unified,13306,16417.1802194499,2212.99253926967,11857.7859677039,2346.4017124763,218447000.0,29446078.7275222,157779700.086268,31221221.1862096,223721000.0,30157000.0,161589000.0,31975000.0,11373.8914775289,5043.28874192094,122580000.0,28761000.0,0,151341000.0,1.23931623931624,64712.0,344400.0,53171.0,10057.0,0.189144458445393,84742.0,16320.0,3447.0,0.211213235294118,608,CA-3675077,San Bernardino County,40140,Suburb,3,Regular public school district that is not a component of a supervisory union,1,2024.0,1397.0,558.0,14,17.0,0.104990229971441,0.152111829249962,29.86,,7100.0,15.61,16.32,1403.0,0,0,5,1,29.2,4668.0,7862325.213133623,70.7,10691.0,21395795.0,19087865.0,40483660.0,0.7581,https://www.avusd.org
