state,leaid,name
AK,0200001,Lower Kuskokwim School District
AK,0200003,Lower Yukon School District
AK,0200004,Yupiit School District
AK,0200005,Kashunamiut School District
AK,0200006,Mount Edgecumbe
AK,0200007,Aleutians East Borough School District
AK,0200010,Aleutian Region School District
AK,0200020,Bering Strait School District
AK,0200030,Bristol Bay Borough School District
AK,0200050,Alaska Gateway School District
AK,0200060,Cordova City School District
AK,0200070,Copper River School District
AK,0200090,Craig City School District
AK,0200100,Delta/Greely School District
AK,0200120,Dillingham City School District
AK,0200130,Galena City School District
AK,0200150,Ketchikan Gateway Borough School District
AK,0200180,Anchorage School District
AK,0200210,Juneau Borough School District
AK,0200240,Sitka School District
AK,0200270,Haines Borough School District
AK,0200300,Hoonah City School District
AK,0200330,Hydaburg City School District
AK,0200360,Kake City School District
AK,0200390,Kenai Peninsula Borough School District
AK,0200450,Klawock City School District
AK,0200480,Kodiak Island Borough School District
AK,0200485,Lake and Peninsula Borough School District
AK,0200510,Matanuska-Susitna Borough School District
AK,0200520,Iditarod Area School District
AK,0200525,Annette Island School District
AK,0200540,Nenana City School District
AK,0200570,Nome Public Schools
AK,0200600,Fairbanks North Star Borough School District
AK,0200610,North Slope Borough School District
AK,0200625,Northwest Arctic Borough School District
AK,0200630,Pelican City School District
AK,0200660,Petersburg Borough School District
AK,0200670,Pribilof School District
AK,0200680,Saint Mary's School District
AK,0200690,Skagway School District
AK,0200700,Southeast Island School District
AK,0200710,Southwest Region School District
AK,0200715,Tanana City School District
AK,0200720,Unalaska City School District
AK,0200730,Chatham School District
AK,0200760,Kuspuk School District
AK,0200770,Denali Borough School District
AK,0200775,Yukon Flats School District
AK,0200780,Valdez City School District
AK,0200800,Chugach School District
AK,0200810,Wrangell Public School District
AK,0200840,Yakutat School District
AK,0200862,Yukon-Koyukuk School District
AL,0100002,Alabama Youth Services
AL,0100005,Albertville City
AL,0100006,Marshall County
AL,0100007,Hoover City
AL,0100008,Madison City
AL,0100009,Al Inst Deaf And Blind
AL,0100010,Al Sch Of Math And Science
AL,0100011,Leeds City
AL,0100012,Boaz City
AL,0100013,Trussville City
AL,0100018,Alabama School of Fine Arts
AL,0100030,Alexander City
AL,0100060,Andalusia City
AL,0100090,Anniston City
AL,0100100,Arab City
AL,0100120,Athens City
AL,0100176,JF Ingram State Technical College
AL,0100180,Attalla City
AL,0100185,Saraland City
AL,0100188,Chickasaw City
AL,0100189,Satsuma City
AL,0100190,Alabaster City
AL,0100194,Pelham City
AL,0100195,Pike Road City
AL,0100197,MAEF Public Charter Schools
AL,0100199,University Charter School
AL,0100201,Legacy Prep
AL,0100202,Gulf Shores City
AL,0100203,LEAD Academy
AL,0100204,i3 Academy
AL,0100207,LIFE Academy
AL,0100208,Breakthrough Charter School
AL,0100210,Auburn City
AL,0100211,Magic City Acceptance Academy
AL,0100212,Alabama School of Cyber Technology and Engineering
AL,0100213,Alabama Aerospace and Aviation
AL,0100240,Autauga County
AL,0100270,Baldwin County
AL,0100300,Barbour County
AL,0100330,Bessemer City
AL,0100360,Bibb County
AL,0100390,Birmingham City
AL,0100420,Blount County
AL,0100450,Brewton City
AL,0100480,Bullock County
AL,0100510,Butler County
AL,0100540,Calhoun County
AL,0100600,Chambers County
AL,0100630,Cherokee County
AL,0100660,Chilton County
AL,0100690,Choctaw County
AL,0100720,Clarke County
AL,0100750,Clay County
AL,0100780,Cleburne County
AL,0100810,Coffee County
AL,0100840,Colbert County
AL,0100870,Conecuh County
AL,0100900,Coosa County
AL,0100930,Covington County
AL,0100960,Crenshaw County
AL,0100990,Cullman City
AL,0101020,Cullman County
AL,0101050,Dale County
AL,0101080,Daleville City
AL,0101110,Dallas County
AL,0101140,DeKalb County
AL,0101170,Decatur City
AL,0101200,Demopolis City
AL,0101230,Dothan City
AL,0101260,Elba City
AL,0101290,Elmore County
AL,0101320,Enterprise City
AL,0101350,Escambia County
AL,0101380,Etowah County
AL,0101410,Eufaula City
AL,0101440,Fairfield City
AL,0101470,Fayette County
AL,0101530,Florence City
AL,0101560,Fort Payne City
AL,0101590,Franklin County
AL,0101620,Gadsden City
AL,0101640,Geneva City
AL,0101660,Geneva County
AL,0101680,Greene County
AL,0101690,Guntersville City
AL,0101710,Hale County
AL,0101720,Haleyville City
AL,0101730,Hartselle City
AL,0101740,Henry County
AL,0101760,Homewood City
AL,0101770,Houston County
AL,0101800,Huntsville City
AL,0101830,Jackson County
AL,0101860,Jacksonville City
AL,0101890,Jasper City
AL,0101920,Jefferson County
AL,0101950,Lamar County
AL,0101980,Lanett City
AL,0102010,Lauderdale County
AL,0102040,Lawrence County
AL,0102070,Lee County
AL,0102100,Limestone County
AL,0102130,Linden City
AL,0102160,Lowndes County
AL,0102190,Macon County
AL,0102220,Madison County
AL,0102250,Marengo County
AL,0102310,Marion County
AL,0102350,Midfield City
AL,0102370,Mobile County
AL,0102400,Monroe County
AL,0102430,Montgomery County
AL,0102480,Morgan County
AL,0102490,Mountain Brook City
AL,0102520,Muscle Shoals City
AL,0102550,Oneonta City
AL,0102580,Opelika City
AL,0102610,Opp City
AL,0102635,Oxford City
AL,0102640,Ozark City
AL,0102650,Pell City
AL,0102670,Perry County
AL,0102700,Phenix City
AL,0102730,Pickens County
AL,0102760,Piedmont City
AL,0102790,Pike County
AL,0102820,Randolph County
AL,0102850,Roanoke City
AL,0102880,Russell County
AL,0102910,Russellville City
AL,0102940,Scottsboro City
AL,0102970,Selma City
AL,0103000,Sheffield City
AL,0103030,Shelby County
AL,0103062,St Clair County
AL,0103090,Sumter County
AL,0103120,Sylacauga City
AL,0103150,Talladega City
AL,0103180,Talladega County
AL,0103210,Tallapoosa County
AL,0103240,Tallassee City
AL,0103270,Tarrant City
AL,0103300,Thomasville City
AL,0103330,Troy City
AL,0103360,Tuscaloosa City
AL,0103390,Tuscaloosa County
AL,0103420,Tuscumbia City
AL,0103430,Vestavia Hills City
AL,0103450,Walker County
AL,0103480,Washington County
AL,0103510,Wilcox County
AL,0103540,Winfield City
AL,0103580,Winston County
AL,0103581,Orange Beach City
AL,0103582,Empower Community School
AL,0103583,Covenant Academy of Mobile
AL,0103584,Barnabas School of Leadership
AL,0103585,Freedom Prep Academy
AL,0103586,Floretta P Carson Visual and Performing Arts
AR,0500001,DEWITT SCHOOL DISTRICT
AR,0500002,SAU-TECH CAREER CENTER
AR,0500005,OZARKS UNLITD. RESOURCE COOP
AR,0500006,WARREN SCHOOL DISTRICT
AR,0500008,DAWSON EDUCATION SERVICE COOP
AR,0500009,CORNING SCHOOL DISTRICT
AR,0500011,ARCH FORD EDUC. SERVICE COOP
AR,0500012,RIVERSIDE SCHOOL DISTRICT
AR,0500013,SOUTHEAST ARK. EDUC. COOP
AR,0500014,WESTERN ARKANSAS COOP
AR,0500015,SHERIDAN SCHOOL DISTRICT
AR,0500016,MARMADUKE SCHOOL DISTRICT
AR,0500017,PARAGOULD SCHOOL DISTRICT
AR,0500018,SOUTHWEST ARK. COOP
AR,0500019,BATESVILLE SCHOOL DISTRICT
AR,0500020,MIDLAND SCHOOL DISTRICT
AR,0500021,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT
AR,0500022,NORTH CENTRAL ARK. EDUC COOP
AR,0500023,NEWPORT SCHOOL DISTRICT
AR,0500024,ARK. RIVER EDUC  SERVICE COOP
AR,0500025,ARKANSAS CORRECTIONAL SCHOOLS
